Producto;Identificador;Nombre;Descripción;Fecha de Alta;Fecha de Renovación
DOMINIO
Registro .es;5232452;somosmiga.es;somosmiga.es;16/06/2026;16/06/2027
Registro .com;5232453;somosmiga.com;somosmiga.com;16/06/2026;16/06/2027
Registro .net;5232455;somosmiga.net;somosmiga.net;16/06/2026;16/06/2027
Registro .org;5232456;somosmiga.org;somosmiga.org;16/06/2026;16/06/2027
CORREO
Correo Básico;5232454;somosmiga.com;somosmiga.com;16/06/2026;16/06/2027
WEB
Web Básica;5232457;somosmiga.es;somosmiga.es;16/06/2026;16/12/2026
SEGURIDAD
DV Essential SSL Lite;5232458;SSL2116504;SSL2116504;16/06/2026;16/06/2027
